Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
22/074,2022-10-02,1,7,11,24,27,38,17,,,4,2,2,1,2,1,0,0,0,7.5,132190,122.5,21580,508.5,9600,5485.8,640,9756.1,320,81310.7,40,33627101
22/073,2022-09-29,6,8,18,36,37,44,30,18,,1,5,2,1,0,2,1,1,8000000,1,1714440,45,101590,134.9,9600,2992.9,640,3883.1,320,57355.2,40,35754279
22/072,2022-09-27,2,18,29,30,32,47,46,29,,2,4,1,1,2,1,1,1,8000000,0.5,1863920,29.5,168490,129.5,9600,2436.6,640,3647,320,51102.1,40,36423869
22/071,2022-09-24,4,6,10,27,29,46,17,,,2,4,3,0,2,0,1,1,34648370,7,398970,137.5,54160,259.5,9600,5479,640,7333.5,320,101190.4,40,60837506
22/070,2022-09-22,8,11,31,32,33,36,46,31,,3,3,1,1,0,4,0,0,0,1,2402310,110.7,57860,220.5,9600,5752.2,640,6046,320,97195.7,40,54111404
22/069,2022-09-20,4,7,14,18,27,31,48,,,3,3,2,2,1,1,0,0,0,2,1022850,117.5,46420,231,9600,5447.5,640,5603,320,90324.8,40,48327547
22/068,2022-09-17,5,17,22,24,34,38,13,,17,2,4,1,1,2,2,0,0,0,2,820970,63,69500,186,9600,3467.9,640,4931,320,65176.6,40,37442505
22/067,2022-09-15,21,23,29,30,33,49,40,,,5,1,0,0,4,1,1,0,0,1,1661820,38,116610,103.5,9600,2745.2,640,3185.6,320,53647.6,40,33500720
22/066,2022-09-13,2,4,20,38,40,46,11,20,,0,6,2,1,0,2,1,3,29226960,4.5,2050430,186.5,131930,694.5,9600,12494.7,640,19929.7,320,248833.7,40,182576789
22/065,2022-09-08,8,14,15,20,41,44,3,14,8,2,4,1,3,0,0,2,0,0,0,0,70.5,99600,202.5,9600,3606,640,5946.2,320,73436.8,40,52561188
22/064,2022-09-06,14,22,35,37,42,46,24,35,,2,4,0,1,1,2,2,0,0,1.5,1610210,61,105580,193,9600,3608.5,640,5355.3,320,66476.7,40,48573532
22/063,2022-09-03,2,8,12,19,35,45,33,45,,3,3,2,2,0,1,1,0,0,1,1419720,127,29810,163.5,9600,5252.9,640,4645.4,320,79108.6,40,37006024
22/062,2022-09-01,23,24,30,31,45,46,26,24,,3,3,0,0,3,1,2,0,0,4,417610,82.5,53990,81.5,9600,2787,640,2974.4,320,45311.8,40,32533897
22/061,2022-08-30,7,8,9,17,24,25,20,,,4,2,3,1,2,0,0,1,8000000,2,425160,193.5,19200,281.7,9600,6727,640,6199.5,320,94548.3,40,36205482
22/060,2022-08-27,12,22,34,35,39,45,7,,,3,3,0,1,1,3,1,1,8000000,0.5,1628000,49,88590,126,9600,2438.4,640,4168.5,320,46982.2,40,33167024
22/059,2022-08-25,16,19,32,33,42,46,34,42,,2,4,0,2,0,2,2,1.5,18078230,0,0,56.5,110950,147,9600,3191.5,640,4785,320,62403.8,40,45747959
22/058,2022-08-23,4,8,9,10,30,42,22,8,,1,5,4,0,1,0,1,0,0,5.5,261130,148.5,25790,484.5,9600,7441.7,640,10134.1,320,108962.9,40,48713465
22/057,2022-08-20,8,17,19,28,31,35,46,"8,19",,4,2,1,2,1,2,0,0,0,1,1920700,55.7,91950,139.5,9600,3368.9,640,3823.5,320,65544.1,40,39651234
22/056,2022-08-18,2,8,19,21,24,47,4,47,,3,3,2,1,2,0,1,0.5,19987420,4.5,383780,88.5,52030,266,9600,4152,640,6965.3,320,78366.2,40,43012629
22/055,2022-08-16,7,20,31,35,41,47,42,47,,5,1,1,1,0,2,2,0.5,24301130,0,0,54,131140,176,9600,3606.5,640,4770,320,71324,40,51542307
