Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
14/143,2014-12-11,1,7,13,32,35,39,31,13,,5,1,2,1,0,3,0,1,8000000,1,1473290,50,79360,144,9600,2384,640,3789,320,47069,40,31104410
14/142,2014-12-09,3,4,13,29,31,41,46,,,5,1,2,1,1,1,1,1,22273570,2,1178220,98,64440,133,9600,4309,640,4181,320,77126,40,47621637
14/141,2014-12-06,17,18,21,25,40,48,16,,,3,3,0,2,2,1,1,0,0,1,1911910,35,145660,122,9600,2683,640,3787,320,54241,40,37539604
14/140,2014-12-04,1,8,20,27,33,36,35,"1,27",,3,3,2,1,1,2,0,0,0,0,0,56,70680,118,9600,2836,640,3274,320,55107,40,31402586
14/139,2014-12-02,1,4,13,27,47,49,33,,,5,1,2,1,1,0,2,1,14195900,5,329010,84,52530,214,9600,4922,640,5051,320,84279,40,41191959
14/138,2014-11-29,7,26,29,32,33,37,31,,29,4,2,1,0,2,3,0,0,0,0,0,65,51710,160,9600,2999,640,4098,320,52655,40,29829284
14/137,2014-11-27,2,20,22,30,40,45,44,,,1,5,1,1,2,1,1,1,56474290,4,869350,210,44260,366,9600,8557,640,7880,320,130068,40,78128337
14/136,2014-11-25,6,35,41,42,44,47,19,,,3,3,1,0,0,1,4,0,0,0,0,78,108750,205,9600,4601,640,5760,320,82360,40,61484064
14/135,2014-11-22,2,12,17,27,32,33,44,33,,3,3,1,2,1,2,0,0,0,3,932120,84,73970,228,9600,4274,640,4814,320,78146,40,49373270
14/134,2014-11-20,8,16,19,33,35,46,12,,,3,3,1,2,0,2,1,0,0,3,909340,75,81370,148,9600,3617,640,5135,320,67006,40,45756162
14/133,2014-11-18,2,6,17,24,37,49,46,,,3,3,2,1,1,1,1,0,0,1,2031270,76,71740,117,9600,3602,640,3889,320,70809,40,41456080
14/132,2014-11-16,7,15,32,33,34,43,10,,,4,2,1,1,0,3,1,0,0,4,457830,128,38150,161,9600,3594,640,4252,320,59338,40,38872246
14/131,2014-11-13,21,36,41,42,46,49,6,49,,3,3,0,0,1,1,4,0,0,3,654880,42,103950,109,9600,2278,640,3837,320,42437,40,32257002
14/130,2014-11-11,3,5,9,19,48,49,26,,,5,1,3,1,0,0,2,1,10474490,3,329930,251,19200,320,9600,8799,640,7170,320,108069,40,41303033
14/129,2014-11-08,7,8,15,32,34,39,43,,8,3,3,2,1,0,3,0,0,0,3,431560,57,60560,160,9600,3105,640,3531,320,55176,40,30258501
14/128,2014-11-06,4,10,12,14,29,48,3,29,,1,5,2,2,1,0,1,2,14727540,2,979720,93,56480,306,9600,5684,640,8131,320,95101,40,50613303
14/127,2014-11-04,16,23,29,30,37,38,33,,,3,3,0,1,3,2,0,0,0,1,2356950,71,89150,201,9600,3819,640,5550,320,70148,40,48550821
14/126,2014-11-01,9,10,11,20,26,44,31,,,2,4,2,2,1,0,1,0,0,3,591060,95,41690,216,9600,5018,640,5741,320,82957,40,39371744
14/125,2014-10-30,3,19,29,36,47,49,33,47,,5,1,1,1,1,1,2,0,0,1,1692950,56,81340,144,9600,3284,640,4150,320,62181,40,36475473
14/124,2014-10-28,16,26,30,37,43,47,31,43,,3,3,0,1,2,1,2,1,8000000,0,0,30,161380,122,9600,2329,640,3438,320,44471,40,34882486
14/123,2014-10-25,1,13,39,40,41,43,18,41,,5,1,1,1,0,2,2,1,39883260,1,2708070,87,83480,154,9600,4390,640,5130,320,78602,40,53541786
14/122,2014-10-23,11,14,28,29,37,41,19,29,,4,2,0,2,2,1,1,0,0,4,614460,79,83490,217,9600,4417,640,5891,320,79370,40,51807582
14/121,2014-10-21,6,9,17,18,29,34,42,,,3,3,2,2,1,1,0,1,48771010,2,1945250,131,59390,275,9600,7507,640,7643,320,125830,40,67221780
14/120,2014-10-18,12,19,22,36,40,47,25,,,2,4,0,2,1,2,1,0,0,2,1803000,77,94270,216,9600,5670,640,6264,320,89210,40,57561889
14/119,2014-10-16,4,9,34,39,48,49,18,,,3,3,2,0,0,2,2,1,63807640,9,335180,304,24990,482,9600,11799,640,12114,320,166710,40,80722958
14/118,2014-10-14,1,5,8,17,20,37,33,37,,4,2,3,2,0,1,0,0,0,4,991320,161,57640,276,9600,7904,640,8805,320,139059,40,76854443
14/117,2014-10-11,26,29,34,35,37,47,8,,,4,2,0,0,2,3,1,0,0,5,700820,80,105780,196,9600,4630,640,6333,320,88445,40,62061064
14/116,2014-10-09,2,12,14,23,40,46,39,12,,1,5,1,2,1,1,1,0,0,1,2955380,62,127110,184,9600,3776,640,5165,320,76654,40,56578669
14/115,2014-10-07,12,13,26,33,42,49,48,,,3,3,0,2,1,1,2,0,0,3,769360,73,84310,326,9600,4318,640,8065,320,81609,40,53040922
14/114,2014-10-04,5,14,22,24,27,45,8,24,,3,3,1,1,3,0,1,0,0,2,1242830,74,67630,220,9600,3477,640,5900,320,65927,40,41702744
14/113,2014-10-02,4,10,24,29,33,35,7,10,,3,3,2,0,2,2,0,0,0,1,1727540,39,118120,150,9600,2579,640,4923,320,53196,40,36017384
14/112,2014-09-30,10,16,20,39,45,46,47,10,,2,4,1,2,0,1,2,0,0,1,1649250,43,103480,118,9600,2045,640,3086,320,39763,40,31661651
14/111,2014-09-28,6,10,12,26,28,35,24,,28,1,5,2,1,2,1,0,7,8279690,4,771960,234,38480,480,9600,9566,640,12241,320,157855,40,84635761
14/110,2014-09-25,3,19,42,44,48,49,38,,,3,3,1,1,0,0,4,0,0,3,1065770,106,80430,278,9600,6137,640,7936,320,108347,40,68320291
14/109,2014-09-23,12,13,20,28,41,43,23,,,3,3,0,3,1,0,2,0,0,4,917400,78,109770,239,9600,4347,640,7485,320,88138,40,63917161
14/108,2014-09-20,3,16,32,38,40,48,27,16,,1,5,1,1,0,3,1,0,0,0,0,69,97630,156,9600,3905,640,4828,320,68164,40,49573696
14/107,2014-09-18,6,16,20,25,27,45,29,,,3,3,1,2,2,0,1,0,0,0,0,57,94530,135,9600,3534,640,4656,320,69975,40,41943261
14/106,2014-09-16,4,15,17,22,34,43,35,43,,3,3,1,2,1,1,1,0,0,0,0,47,98610,95,9600,2746,640,3391,320,50950,40,34297976
14/105,2014-09-13,3,12,40,43,48,49,32,,,3,3,1,1,0,1,3,2,82246250,10,1797010,484,94150,1270,9600,27777,640,37415,320,528565,40,348420150
14/104,2014-09-09,7,25,27,36,39,42,31,36,,4,2,1,0,2,2,1,0,0,11,1045580,370,79120,1170,9600,20143,640,29047,320,371654,40,238344532
14/103,2014-09-04,11,14,34,36,43,46,1,43,,2,4,0,2,0,2,2,0,0,7,1043150,197,91780,484,9600,10757,640,15215,320,201218,40,137263254
14/102,2014-09-02,26,28,37,43,45,47,25,,,4,2,0,0,2,1,3,0,0,2,980180,82,64140,294,9600,3441,640,4725,320,61956,40,43288786
14/101,2014-08-30,15,18,24,27,39,49,6,"24,27",,4,2,0,2,2,1,1,1,27144620,2,1081370,71,81220,202,9600,3204,640,5254,320,61549,40,44392511
14/100,2014-08-28,11,17,24,27,31,38,49,,,4,2,0,2,2,2,0,1,38913520,1,2399270,109,58690,210,9600,5744,640,6092,320,95484,40,53773752
14/099,2014-08-26,25,29,32,33,37,44,47,32,,4,2,0,0,2,3,1,0,0,1,2682900,75,95390,178,9600,3595,640,5077,320,69546,40,51982500
14/098,2014-08-23,4,12,14,24,32,38,13,14,,0,6,1,2,1,2,0,0,0,2,450140,480,19200,182,9600,5012,640,5116,320,74944,40,43826314
14/097,2014-08-21,10,14,26,29,30,31,18,,,2,4,1,1,3,1,0,0,0,4,554700,91,57200,158,9600,3893,640,4844,320,69253,40,41762062
14/096,2014-08-19,2,5,27,32,42,46,16,"27,42,46",,2,4,2,0,1,1,2,0,0,4,497780,45,119310,136,9600,2869,640,4029,320,55062,40,39296442
14/095,2014-08-16,23,26,27,37,42,46,15,23,,3,3,0,0,3,1,2,1,18336530,2,1015730,36,150470,108,9600,2519,640,3819,320,48694,40,38335971
14/094,2014-08-14,4,8,14,23,48,49,11,,14,2,4,2,1,1,0,2,1,24484200,6,249320,163,24540,286,9600,6667,640,6929,320,91718,40,44180085
14/093,2014-08-12,7,9,27,31,36,39,32,"9,31",,5,1,2,0,1,3,0,0,0,1,1965010,83,63510,155,9600,4485,640,4707,320,79960,40,43432605
14/092,2014-08-09,1,9,15,31,33,41,37,31,9,6,0,2,1,0,2,1,0,0,5,297240,74,53550,159,9600,4373,640,4793,320,73695,40,36471190
14/091,2014-08-07,5,14,31,32,36,46,11,5,,2,4,1,1,0,3,1,0,0,0,0,40,110890,106,9600,2134,640,3237,320,41694,40,31704781
14/090,2014-08-05,5,7,8,18,24,29,14,,5,3,3,3,1,2,0,0,1,8000000,5,143500,201,19200,291,9600,7667,640,6282,320,97234,40,34235446
14/089,2014-08-02,3,22,23,26,42,48,28,"22,48",,2,4,1,0,3,0,2,1,9514470,1,1649540,31,144220,139,9600,2479,640,4457,320,50303,40,34155016
14/088,2014-07-31,12,22,27,35,44,48,38,,,2,4,0,1,2,1,2,1,9131660,1,1710550,56,81450,117,9600,2773,640,3903,320,51495,40,34700090
14/087,2014-07-29,11,13,15,31,37,47,19,15,,6,0,0,3,0,2,1,1,8000000,1,1670240,61,73610,139,9600,2511,640,3670,320,49066,40,33901192
14/086,2014-07-26,1,4,15,17,36,42,40,"4,36",,3,3,2,2,0,1,1,1,22702840,1,2079580,69,80950,138,9600,3212,640,3932,320,66253,40,41701310
14/085,2014-07-24,4,5,21,31,36,38,14,,,3,3,2,0,1,3,0,1,32928170,3,855370,89,76880,226,9600,4195,640,5753,320,82981,40,53348951
14/084,2014-07-22,1,3,14,16,24,41,13,"1,41",,3,3,2,2,1,0,1,1,50459660,4,1186630,121,91530,383,9600,6787,640,10107,320,133665,40,87078367
14/083,2014-07-19,1,9,30,40,41,48,49,"1,30",,3,3,2,0,1,1,2,0,0,6,273040,72,55620,481,9600,3939,640,10128,320,69234,40,44722477
14/082,2014-07-17,1,20,28,30,42,43,10,42,,2,4,1,1,2,0,2,0,0,2,936190,47,106230,277,9600,2784,640,8250,320,57675,40,42771826
14/081,2014-07-15,2,5,9,32,41,42,44,,,3,3,3,0,0,1,2,0,0,2,1067640,56,102590,128,9600,3683,640,4193,320,71985,40,43416519
14/080,2014-07-12,3,11,13,23,40,49,43,,,5,1,1,2,1,1,1,0,0,3,437390,62,56890,279,9600,3678,640,5723,320,66143,40,35402185
14/079,2014-07-10,1,2,9,17,22,25,8,22,,4,2,3,1,2,0,0,1,13080600,11,109890,108,28490,549,9600,5219,640,11120,320,82138,40,39134651
14/078,2014-07-08,4,16,22,27,38,39,36,38,,2,4,1,1,2,2,0,0,0,0,0,58,74440,125,9600,3107,640,3671,320,55746,40,34174220
14/077,2014-07-05,10,14,32,36,37,38,47,"14,37",,1,5,1,1,0,4,0,1,59412520,5,713960,87,109420,229,9600,4786,640,6902,320,94701,40,69278624
14/076,2014-07-03,14,17,34,37,43,48,20,,,3,3,0,2,0,2,2,0,0,1,3550200,131,72260,230,9600,6109,640,7132,320,110769,40,71915651
14/075,2014-06-29,15,23,26,38,46,47,21,47,,3,3,0,1,2,1,2,0,0,1,2894870,64,120610,157,9600,4066,640,5306,320,77641,40,55769521
14/074,2014-06-26,2,20,40,42,47,48,28,,,1,5,1,1,0,1,3,0,0,4,685830,69,92760,181,9600,3500,640,4723,320,66255,40,47628261
14/073,2014-06-24,18,24,25,30,31,35,36,,24,3,3,0,1,3,2,0,0,0,2,1144180,62,98420,186,9600,3810,640,5350,320,70255,40,47227071
14/072,2014-06-21,2,17,37,40,45,49,48,17,,4,2,1,1,0,2,2,0,0,0,0,35,141080,158,9600,2184,640,4164,320,45884,40,36026717
14/071,2014-06-19,3,17,24,30,31,44,7,3,,3,3,1,1,2,1,1,0,0,4,369080,40,99660,150,9600,2314,640,4648,320,44778,40,31508201
14/070,2014-06-17,3,4,15,16,23,45,21,"3,45",,4,2,2,2,1,0,1,2,35820150,6,954800,204,68640,459,9600,11008,640,13145,320,182739,40,113767277
14/069,2014-06-12,3,18,21,41,44,45,15,44,,4,2,1,1,1,0,3,0,0,6,652680,94,111090,237,9600,5263,640,7620,320,105814,40,75933311
14/068,2014-06-10,1,30,32,35,37,44,40,44,,3,3,1,0,1,3,1,0,0,2,2524090,124,81750,221,9600,5405,640,6436,320,101072,40,73000021
14/067,2014-06-07,4,8,13,19,44,48,27,,,2,4,2,2,0,0,2,1,65558410,3,1895900,152,83420,397,9600,8413,640,11431,320,157721,40,99778571
14/066,2014-06-04,10,11,25,33,40,46,6,,,3,3,1,1,1,2,1,0,0,8,428960,154,55890,525,9600,7309,640,12978,320,129276,40,78900058
14/065,2014-06-02,3,13,19,20,36,39,15,,,4,2,1,3,0,2,0,0,0,3,833680,91,73690,185,9600,4473,640,5506,320,81592,40,51817947
14/064,2014-05-31,2,10,28,32,37,47,31,,,2,4,2,0,1,2,1,1,68368640,4,1304480,179,68200,368,9600,8669,640,10028,320,153187,40,96037741
14/063,2014-05-29,4,14,19,24,26,48,35,,,1,5,1,2,2,0,1,0,0,3,1663650,148,75190,297,9600,7833,640,8531,320,136363,40,86144548
14/062,2014-05-27,3,10,16,30,34,44,1,30,,1,5,2,1,1,1,1,0,0,4,1016180,126,86020,345,9600,7712,640,11461,320,136419,40,87305096
14/061,2014-05-24,2,4,14,30,39,41,49,,,2,4,2,1,1,1,1,0,0,3,740630,51,96810,134,9600,3056,640,4137,320,56839,40,37785420
14/060,2014-05-22,9,17,28,31,35,37,19,,,5,1,1,1,1,3,0,0,0,0,0,59,72080,140,9600,3231,640,4291,320,58835,40,34851413
14/059,2014-05-20,10,16,33,34,44,47,6,,,2,4,1,1,0,2,2,0,0,2,998550,39,103210,108,9600,1984,640,3088,320,38621,40,29282558
14/058,2014-05-18,9,12,21,27,37,45,7,"9,12",,5,1,1,1,2,1,1,2,6261590,1,1130790,68,55430,225,9600,3328,640,6724,320,58859,40,35462451
14/057,2014-05-15,9,12,16,24,34,35,7,"9,35",,2,4,1,2,1,2,0,0,0,4,368420,57,60430,170,9600,2565,640,4853,320,48932,40,30055366
14/056,2014-05-13,9,20,22,32,35,41,8,,,3,3,1,1,1,2,1,1,28382030,4,527770,84,67010,239,9600,4070,640,6387,320,71656,40,46804774
14/055,2014-05-11,11,16,26,38,45,49,5,,11,3,3,0,2,1,1,2,0,0,6,274850,73,60240,335,9600,3922,640,7805,320,72762,40,42991756
14/054,2014-05-08,2,10,12,30,37,39,48,"10,39",,2,4,2,1,1,2,0,1,34202730,1,2509550,77,86910,154,9600,4522,640,4880,320,84020,40,51249535
14/053,2014-05-06,10,23,33,36,39,44,30,36,,3,3,1,0,1,3,1,0,0,4,664130,74,83760,183,9600,4045,640,4710,320,73226,40,47788375
14/052,2014-05-03,2,6,13,16,30,36,25,,,1,5,2,2,1,1,0,0,0,1,1770890,56,85080,165,9600,4352,640,5390,320,74923,40,40850870
14/051,2014-05-01,1,14,28,29,37,43,30,37,1,4,2,1,1,2,1,1,0,0,1,1806640,52,93540,103,9600,2690,640,3748,320,51910,40,35585385
14/050,2014-04-29,2,8,15,26,37,45,14,,,3,3,2,1,1,1,1,1,17936070,2,885610,157,30180,176,9600,5777,640,4988,320,81218,40,42967089
14/049,2014-04-26,9,12,22,27,36,47,46,,,3,3,1,1,2,1,1,0,0,1,1540790,67,61780,116,9600,3438,640,3481,320,65071,40,33922771
14/048,2014-04-24,1,17,28,32,39,40,16,1,,3,3,1,1,1,3,0,0,0,3,501690,30,136050,130,9600,2332,640,3461,320,42020,40,30656203
14/047,2014-04-22,1,3,12,29,36,41,14,,,4,2,2,1,1,1,1,1,39356150,1,2800650,46,162350,188,9600,4696,640,6292,320,94894,40,57660970
14/046,2014-04-19,20,21,32,35,46,47,3,,,3,3,0,1,1,2,2,0,0,1,2226110,59,100610,164,9600,2925,640,3989,320,55058,40,43015698
14/045,2014-04-17,12,14,17,23,24,45,42,"14,45",17,3,3,0,3,2,0,1,0,0,0,0,58,97300,136,9600,3257,640,4194,320,66436,40,42388389
14/044,2014-04-15,6,14,16,28,41,45,27,"6,28,45",,2,4,1,2,1,0,2,0,0,0,0,41,126990,135,9600,2681,640,4472,320,55940,40,38850103
14/043,2014-04-12,6,18,20,28,43,45,13,18,,2,4,1,2,1,0,2,0,0,1,1434940,44,87960,101,9600,2114,640,3362,320,44906,40,29077211
14/042,2014-04-10,4,18,21,31,42,49,25,31,,3,3,1,1,1,1,2,2,6996260,1,1583050,40,131920,113,9600,2556,640,3451,320,55265,40,38022212
14/041,2014-04-08,11,24,31,45,46,47,6,45,,4,2,0,1,1,1,3,1,15320590,4,554080,80,64640,197,9600,3460,640,4989,320,61826,40,41439738
14/040,2014-04-05,10,19,38,39,44,45,31,,,3,3,1,1,0,2,2,0,0,0,0,36,112870,82,9600,2121,640,2569,320,38108,40,28693843
14/039,2014-04-03,4,9,25,26,27,28,3,,,3,3,2,0,4,0,0,1,38843580,9,215670,177,27720,640,9600,8680,640,13282,320,128361,40,62178045
14/038,2014-04-01,22,33,36,43,48,49,25,33,,3,3,0,0,1,2,3,0,0,1,2592630,109,63420,211,9600,5184,640,5897,320,88004,40,55072818
14/037,2014-03-29,2,10,12,18,24,33,11,,,1,5,2,2,1,1,0,0,0,3,605400,84,48040,313,9600,5088,640,8069,320,84700,40,43182929
14/036,2014-03-27,7,23,35,42,45,49,36,"35,45",,5,1,1,0,1,1,3,0,0,1,2163380,62,93800,117,9600,3399,640,4265,320,60136,40,42430218
14/035,2014-03-25,22,28,35,36,44,45,6,,,2,4,0,0,2,2,2,0,0,1,1867210,76,65950,151,9600,3539,640,4783,320,61237,40,39580382
14/034,2014-03-22,11,20,21,26,34,49,4,,,3,3,0,2,2,1,1,0,0,2,710400,27,142970,132,9600,2285,640,3798,320,45512,40,29951365
14/033,2014-03-20,1,9,18,25,37,48,14,48,,4,2,2,1,1,1,1,1,24047840,4,395710,141,30040,361,9600,6748,640,7209,320,98025,40,47413194
14/032,2014-03-18,2,17,23,35,42,48,27,2,,3,3,1,1,1,1,2,0,0,4,652540,58,105000,158,9600,3114,640,4382,320,60483,40,44551899
14/031,2014-03-15,2,15,21,24,29,46,27,,15,3,3,1,1,3,0,1,1,24895010,5,488780,89,66270,244,9600,3727,640,6418,320,69569,40,47541831
14/030,2014-03-13,7,10,17,19,20,22,30,,,3,3,2,3,1,0,0,0,0,3,543190,116,37460,296,9600,5542,640,7304,320,87970,40,44768441
14/029,2014-03-11,4,6,15,28,30,33,27,,,2,4,2,1,2,1,0,0,0,2,901270,53,90690,178,9600,3916,640,5563,320,73028,40,40951373
14/028,2014-03-08,2,3,16,17,24,32,40,,,2,4,2,2,1,1,0,0,0,3,540150,57,63170,134,9600,2875,640,3035,320,51969,40,29756893
14/027,2014-03-06,6,10,20,27,39,46,38,27,6,2,4,2,1,1,1,1,1,61290980,3,1630450,118,92500,310,9600,6669,640,9208,320,132060,40,83943987
14/026,2014-03-04,3,13,16,19,27,33,22,"16,19",,5,1,1,3,1,1,0,0,0,4,847610,137,57740,389,9600,7429,640,9922,320,128121,40,71323197
14/025,2014-03-02,11,16,19,21,38,46,34,,,3,3,0,3,1,1,1,0,0,4,732950,102,76640,275,9600,5147,640,6936,320,94047,40,61840880
14/024,2014-02-27,5,9,15,24,28,35,44,,,4,2,2,1,2,1,0,0,0,1,2309070,102,60660,189,9600,5644,640,5603,320,100010,40,52103657
14/023,2014-02-25,8,26,39,40,41,43,5,,,3,3,1,0,1,2,2,0,0,3,838660,69,97230,198,9600,3700,640,4915,320,69479,40,50097476
14/022,2014-02-22,2,23,24,29,33,35,14,24,,4,2,1,0,3,2,0,0,0,0,0,47,102360,128,9600,3069,640,4084,320,56516,40,36995816
14/021,2014-02-20,3,5,24,26,31,40,45,,,3,3,2,0,2,2,0,0,0,0,0,39,116010,101,9600,2664,640,2609,320,51466,40,33024865
14/020,2014-02-18,15,21,23,25,34,45,35,45,,5,1,0,1,3,1,1,1,8000000,2,796940,45,95510,244,9600,2549,640,6161,320,46935,40,36100835
14/019,2014-02-15,2,14,30,32,36,45,11,,,1,5,1,1,1,2,1,1,20075790,2,1085090,36,160750,150,9600,3008,640,4208,320,58013,40,42464185
14/018,2014-02-13,19,23,25,40,46,49,30,25,,4,2,0,1,2,1,2,0,0,0,0,43,122250,141,9600,2894,640,4161,320,49011,40,38466994
14/017,2014-02-11,7,10,24,25,27,29,19,,,4,2,2,0,4,0,0,1,11542330,5,262390,109,29040,440,9600,5017,640,9252,320,77152,40,40048108
14/016,2014-02-09,20,21,35,37,47,48,14,37,,4,2,0,1,1,2,2,0,0,2,920550,47,104450,125,9600,2475,640,3134,320,45620,40,35368580
14/015,2014-02-06,26,27,32,33,37,45,39,,,4,2,0,0,2,3,1,1,33434650,4,888260,88,94210,234,9600,4398,640,6383,320,86374,40,61722146
14/014,2014-02-04,11,13,15,39,48,49,37,,,5,1,0,3,0,1,2,1,48215660,4,1517970,216,75130,484,9600,10131,640,13961,320,196516,40,125815762
14/013,2014-01-30,2,3,4,16,26,36,45,4,,1,5,3,1,1,1,0,2,10656700,6,343080,164,33570,207,9600,6394,640,4970,320,101941,40,49680279
14/012,2014-01-28,4,20,27,30,31,37,18,"20,37",,3,3,1,1,2,2,0,1,30275820,2,1471040,75,104600,229,9600,4277,640,6701,320,83611,40,59207724
14/011,2014-01-25,5,20,37,38,43,48,6,5,,3,3,1,1,0,2,2,0,0,2,1129230,51,119250,144,9600,2878,640,4942,320,56475,40,43722460
14/010,2014-01-23,4,5,18,21,27,31,7,,,4,2,2,1,2,1,0,0,0,2,1065140,68,63110,248,9600,3697,640,7629,320,65249,40,39811383
14/009,2014-01-21,8,20,23,34,37,49,44,,,3,3,1,1,1,2,1,0,0,0,0,37,135560,95,9600,2302,640,2734,320,48676,40,35152208
14/008,2014-01-18,3,17,18,26,28,44,38,"17,18",18,2,4,1,2,2,0,1,1,20291470,1,1884910,61,83080,190,9600,3856,640,7257,320,73052,40,43230682
14/007,2014-01-16,9,15,16,17,18,37,33,9,16,4,2,1,4,0,1,0,0,0,0,0,67,66030,194,9600,4178,640,4649,320,67635,40,38672617
14/006,2014-01-14,9,11,27,31,33,34,21,,,5,1,1,1,1,3,0,0,0,2,639720,71,48050,195,9600,3246,640,5111,320,60738,40,32186606
14/005,2014-01-12,3,16,36,39,42,44,17,"16,39",,2,4,1,1,0,2,2,1,34819980,3,992990,66,121280,162,9600,3772,640,5460,320,75181,40,56568555
14/004,2014-01-09,4,15,16,28,39,45,25,16,,3,3,1,2,1,1,1,0,0,2,1186510,71,89760,189,9600,3862,640,5586,320,71154,40,48702069
14/003,2014-01-07,9,16,30,31,38,41,46,"16,31",,3,3,1,1,1,2,1,0,0,0,0,50,121610,135,9600,3214,640,4058,320,63473,40,44242000
14/002,2014-01-04,6,16,31,32,44,49,43,49,,2,4,1,1,0,2,2,0,0,0,0,30,146000,92,9600,1962,640,3091,320,41642,40,31151973
14/001,2014-01-02,1,36,38,43,46,49,21,,,3,3,1,0,0,2,3,1,51516650,3,1802220,214,56270,425,9600,11778,640,11912,320,193849,40,104057565
13/152,2013-12-31,7,9,12,40,42,44,14,"9,42",,2,4,2,1,0,1,2,0,0,3,855010,71,96340,184,9600,3822,640,5626,320,79711,40,51829303
13/151,2013-12-28,4,9,20,32,42,43,5,4,,2,4,2,1,0,1,2,0,0,1,2052380,56,98610,165,9600,2931,640,4499,320,58922,40,41281122
13/150,2013-12-25,4,21,25,45,47,49,6,49,25,5,1,1,0,2,0,3,0,0,3,757010,40,126160,127,9600,2549,640,4009,320,52398,40,37210957
13/149,2013-12-22,12,13,18,41,43,49,39,43,,4,2,0,3,0,0,3,3,16513930,1,2106500,74,114630,207,9600,4822,640,6281,320,96987,40,63168173
13/148,2013-12-19,4,14,31,39,43,47,27,,,4,2,1,1,0,2,2,0,0,2,1738000,67,103760,218,9600,3477,640,5149,320,68408,40,51473920
13/147,2013-12-17,1,8,15,19,20,33,47,15,,4,2,2,3,0,1,0,0,0,0,0,84,63470,157,9600,4620,640,4927,320,85591,40,44650817
13/146,2013-12-14,6,14,15,38,46,49,29,,14,2,4,1,2,0,1,2,0,0,0,0,52,89750,126,9600,2775,640,3903,320,52853,40,35264384
13/145,2013-12-12,10,19,24,28,31,34,27,,,2,4,1,1,2,2,0,0,0,1,1355060,88,41060,136,9600,3453,640,3755,320,57353,40,31367167
13/144,2013-12-10,1,8,17,30,36,46,16,,,2,4,2,1,1,1,1,1,90951590,6,1265730,222,83620,641,9600,12275,640,19349,320,239982,40,149624782
13/143,2013-12-07,5,18,24,26,41,44,20,26,,2,4,1,1,2,0,2,0,0,4,1198960,108,118410,297,9600,6440,640,8954,320,130548,40,92942714
13/142,2013-12-05,1,16,17,19,26,46,29,"1,17",,3,3,1,3,1,0,1,0,0,2,2737840,109,100470,268,9600,6872,640,9120,320,130593,40,83692379
13/141,2013-12-03,1,17,24,29,39,40,21,,,4,2,1,1,2,2,0,0,0,3,1294770,124,69610,238,9600,6262,640,6996,320,114772,40,68205230
13/140,2013-11-30,2,15,19,34,42,45,14,34,,3,3,1,2,0,1,2,0,0,1,2506720,68,99030,169,9600,3575,640,4752,320,65539,40,48920127
13/139,2013-11-28,3,6,21,33,34,43,9,34,,4,2,2,0,1,2,1,0,0,4,464190,83,52510,414,9600,4075,640,9694,320,72445,40,45331946
13/138,2013-11-26,9,10,12,31,34,44,18,,,2,4,2,1,0,2,1,0,0,1,2013150,84,64290,150,9600,4331,640,5274,320,80666,40,44206096
13/137,2013-11-23,3,18,20,21,30,41,13,3,,3,3,1,2,2,0,1,0,0,2,1106170,55,81180,149,9600,3016,640,4064,320,53334,40,35083788
13/136,2013-11-21,3,6,8,23,25,49,4,49,,4,2,3,0,2,0,1,1,15953760,3,457270,87,42040,271,9600,4819,640,7430,320,82411,40,39646555
13/135,2013-11-19,12,27,35,44,47,49,36,,,4,2,0,1,1,1,3,1,23676630,6,428290,75,83750,210,9600,3756,640,5171,320,70725,40,48445488
13/134,2013-11-16,1,8,17,32,39,43,48,8,,4,2,2,1,0,2,1,0,0,0,0,29,170740,114,9600,2587,640,3811,320,53021,40,36025904
13/133,2013-11-14,3,8,10,25,29,34,32,,,3,3,3,0,2,1,0,0,0,0,0,70,50270,105,9600,3860,640,3132,320,64170,40,30822750
13/132,2013-11-12,18,19,21,28,47,49,46,,,4,2,0,2,2,0,2,1,47714340,6,515390,111,74620,298,9600,5783,640,6920,320,105043,40,65977260
13/131,2013-11-10,13,31,32,35,39,42,16,42,,4,2,0,1,0,4,1,0,0,1,2771180,76,97230,231,9600,4498,640,6655,320,83474,40,57159863
13/130,2013-11-07,4,9,14,26,30,42,21,"4,42",,1,5,2,1,2,0,1,0,0,2,1563980,76,82310,196,9600,4676,640,5475,320,84330,40,50343853
13/129,2013-11-05,4,22,25,37,38,42,20,,,2,4,1,0,2,2,1,0,0,2,1542330,60,103330,145,9600,3719,640,4370,320,66939,40,45919322
13/128,2013-11-02,8,18,19,29,31,34,36,29,,3,3,1,2,1,2,0,1,32290420,1,2383700,81,78470,170,9600,4428,640,5253,320,81701,40,49773403
13/127,2013-10-31,2,9,29,43,46,47,21,47,,4,2,2,0,1,0,3,0,0,0,0,45,136880,143,9600,3216,640,4389,320,66356,40,44849354
13/126,2013-10-29,1,20,22,25,34,47,17,47,,3,3,1,1,2,1,1,0,0,0,0,43,125530,147,9600,2582,640,4277,320,52865,40,39265357
